factor	pole	rank	group	group_rank	text_id	score	subcorpus	filename	path	present_loading_lemmas	excerpt
factor_3	positive	1	1990	1	t000414	-1.0000000000	1990	tv_com_1990_2.txt	1990/tv_com_1990_2.txt		Hey, lady! Come on, hit the gas! You're killing me out here! Jet Moto 2. More tracks, more control, more speed. Take advantage of it. And turn off the blinker!
factor_3	positive	2	1990	1	t000441	-1.0000000000	1990	tv_com_1990_36.txt	1990/tv_com_1990_36.txt		Triples taste good. You'll be surprised. Nothing surprises me. Crisp rice like Rice Krispies, plus crisp wheat and crisp corn, give triples a taste so surprisingly good, people do a... ...triple take. He liked it. I'm not surprised.
factor_3	positive	3	1990	1	t000445	-1.0000000000	1990	tv_com_1990_42.txt	1990/tv_com_1990_42.txt		Pizza Hut wants you to share in the magic of Walt Disney's newest video classic, Beauty and the Beast. Now your kids can collect Beasts, Bells, Chip and Cogsworth. Each puppet's $1.49 with any pizza purchase. And when you buy the video at your local video store, you get the Pizza Hut value card for great pizza value. So experience the fantasy of Beauty and the Beast, now with Pizza Hut.
factor_3	positive	4	1990	1	t000446	-1.0000000000	1990	tv_com_1990_43.txt	1990/tv_com_1990_43.txt		The things we do to control what we eat. Now you can give in to your craving for snacks the smart way. Introducing Orville Redenbacher Smart Pop. Compared to potato chips, new Smart Pop has 80% less fat and a third fewer calories. So you can eat and eat and eat and not feel the least bit guilty. New Smart Pop. From Orville Redenbacher, of course.
factor_3	positive	5	1990	1	t000447	-1.0000000000	1990	tv_com_1990_44.txt	1990/tv_com_1990_44.txt		Parents love to tell about when they were kids. It's called nostalgia. I had a Tonka truck. A mini Cabbage Patch Kid. I always loved dolls. A McDonald's Hamburger Happy Meal will give you that nostalgic feeling. For just $1.99, you can get a mini Cabbage Patch Kid. Cute hands. Or a mini Tonka truck with parts that move. One toy with every Happy Meal you buy your kids. Plus, get coupons and rebates for up to $50 off of A-brand toys and games. What you want is what you get. At McDonald's today. . 
factor_3	positive	6	2000	2	t000524	-1.0000000000	2000	tv_com_2000_10.txt	2000/tv_com_2000_10.txt		Your turn, Jimmy. Look at the brown fish. No, Jimmy! You need the passion, okay? Again, again, come on. The flaky fish. Unbelievable. Listen, Jimmy, listen to me. The succulent flaky white fish strips. Each bite brings you closer to the joy you never thought possible, okay? The six-piece crunchy fish strip combo is only $2.99. Now give it to me. The... I... Long John Silver's. How can you resist? I can't.
factor_3	positive	7	2000	2	t000530	-1.0000000000	2000	tv_com_2000_17.txt	2000/tv_com_2000_17.txt		Okay, okay, quiet, everyone! Here are the facts. People have finally discovered that with more flavor and half the fat of mayonnaise, Miracle Whip makes a better... turkey sandwich! We've decided our best chance for survival is to not be turkeys, but... ducks! He's finally lost it. Bad news for turkeys, good news for you. With more flavor and half the fat of mayonnaise, Miracle Whip makes a better turkey sandwich.
factor_3	positive	8	2010	3	t000621	-1.0000000000	2010	tv_com_2010_4.txt	2010/tv_com_2010_4.txt		Cut! What's that doing on my set? Product placement, sir. Whenever we feature a product in a scene, we get tons of free stuff. Here we go. Oh, my God! Oh, my God! Bud Light! Really? My lady? You saved me. It's the sure sign of a good time. Just right taste of Bud Light. Here we go. Yeah, I don't know. More Bud Light just to be safe?
factor_3	positive	9	2010	3	t000627	-1.0000000000	2010	tv_com_2010_11.txt	2010/tv_com_2010_11.txt		My Toshiba laptop lets me crush it in the office, but if I say so myself, I do my best work at home. Hey loser. I've gotten into digital photography, making videos, refund, really killer stuff. Check, check. I've also started work on a college football rock opera. Running down the side of the house, on tiptoe, tiptoe, stay in bounds. Give me a Toshiba laptop and I'll give you magic. Toshiba, leading innovation. Thank you. Thank you.
factor_3	positive	10	2020	4	t000725	-1.0000000000	2020	tv_com_2020_4.txt	2020/tv_com_2020_4.txt		hey what's up it's the people shark here damon john i'm going to give you a tip that i have never shared with anyone before this tip is about how to create the wow factor in your home every person that comes into my home comments about how amazing it smells it's all thanks to aroma 360 scent abuse we feel like we live in a luxurious hotel every day and i love how evenly it sets our space i highly recommend that you go directly to aroma360.com to get yours today you
factor_3	positive	11	2020	4	t000728	-1.0000000000	2020	tv_com_2020_7.txt	2020/tv_com_2020_7.txt		This is Milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the Ring app starts outdoor cameras looking for a match. Search Party from Ring uses AI to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with Search Party. Available to everyone for free right now. Join the neighborhood at ring.com.
factor_3	positive	12	1980	5	t000310	-1.0000000000	1980	tv_com_1980_1.txt	1980/tv_com_1980_1.txt		Table for two, please. Yes, you'd prefer something in our smoking area, Philippe. Fine. How'd you know she smoked? Teeth, Orlando. Tobacco stains give smokers away. Not when you brush every day with Topol. Topol Smoker's Tooth Polish with Fluoride safely removes newly deposited tobacco particles and helps clean away built-up stains. Table for two, please. I have a charming table in our non-smoking area. No, no, we smoke. But your teeth are so clean. And he smokes. Topol. The only toothpaste a sm
factor_3	positive	13	1980	5	t000311	-1.0000000000	1980	tv_com_1980_2.txt	1980/tv_com_1980_2.txt		with double-layer design for dependable protection a comfortable plastic applicator a deodorant for freshness a special plastic wrap so they won't open in your purse do more latex tampons give you what you want and more you seem to do more yes
